Title,Author,Series,Status,Privacy,Hardcover Book ID,Hardcover Edition ID,ISBN 10,ISBN 13,ASIN,Media,Country Code,Language Code,Binding,Pages,Duration in Seconds,Publish Date,Publisher,Genres,Moods,Tags,Content Warnings,Lists,Date Added,Date Started,Date Finished,Rating,Review,Review Contains Spoilers,Sponsored Review,Review Date,Review URL,Review Media URL,Private Notes,Owned,Compilation,Review Slate
American Kingpin,Nick Bilton,,Read,Public,378477,30401046,1591848148,9781591848141,,Book,,,,352,,2017-05-02,,,,,,"",2020-02-25,"",2020-02-25,4.0,,false,false,2020-02-25T00:00:00Z,,,,false,No,{}
Hardboiled Web Design,Andy      Clarke,,Read,Public,470552,30391387,1907828001,9781907828003,,Book,,,,620,,2010-10-01,,,,,,"",2011-01-01,"",2011-01-01,4.0,"This was really good, though I would suggest it more for anyone that hasn't already dove into using CSS3. I was able to skip big portions of it but there were still some great takeaways.",false,false,2011-01-01T00:00:00Z,,,,false,No,"{""document""=>{""object""=>""document"", ""children""=>[{""data""=>{}, ""type""=>""paragraph"", ""object""=>""block"", ""children""=>[{""text""=>""This was really good, though I would suggest it more for anyone that hasn't already dove into using CSS3. I was able to skip big portions of it but there were still some great takeaways."", ""object""=>""text""}]}]}}"
Sexy Web Design: Creating Interfaces that Work,Elliott Jay Stocks,,Want to Read,Public,789395,30794088,0980455235,9780980455236,,Book,us,,,152,,2008-02-15,,,,,,"",2010-03-16,"","",,,false,false,,,,,false,No,{}
Origin,Dan Brown,Robert Langdon (#5.0),Read,Public,1938541,30382503,1473543347,9781473543348,1473543347,Ebook,us,en,,461,,2017-10-03,Transworld Digital,,,,,"",2017-10-19,"",2017-11-04,5.0,"You'll race to the end and then ponder what you read.

I love the pace of Dan Brown books and each time I read one I spend days afterwards reading about art and history. Most have filled me with wonder about our past, but this one has filled me with wonder about our future.",false,false,2017-11-04T00:00:00Z,,,,false,No,"{""document""=>{""object""=>""document"", ""children""=>[{""data""=>{}, ""type""=>""paragraph"", ""object""=>""block"", ""children""=>[{""bold""=>true, ""text""=>""You'll race to the end and then ponder what you read."", ""object""=>""text""}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""text""=>""I love the pace of Dan Brown books and each time I read one I spend days afterwards reading about art and history. Most have filled me with wonder about our past, but this one has filled me with wonder about our future."", ""object""=>""text""}]}]}}"
Web of Fear,Mike Omer,Glenmore Park Mystery (#3.0),Read,Public,654314,30635621,,,,Book,,,,312,,2016-10-05,,,,,,"",2018-11-26,"",2018-11-30,4.0,,false,false,2018-11-30T00:00:00Z,,,,false,No,{}
Finding Claire Fletcher,Lisa  Regan,Claire Fletcher and Detective Parks (#1.0),Read,Public,537031,30492972,,,,Book,,,,325,,2012-08-06,,,,,,"",2020-08-03,"",2020-08-31,5.0,"Wonderful mix of light and darkness

In addition to a captivating story, there is a dive into the psyche of a captive and survivor of captivity.",false,false,2020-08-31T00:00:00Z,,,,false,No,"{""document""=>{""object""=>""document"", ""children""=>[{""data""=>{}, ""type""=>""paragraph"", ""object""=>""block"", ""children""=>[{""bold""=>true, ""text""=>""Wonderful mix of light and darkness"", ""object""=>""text""}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""text""=>""In addition to a captivating story, there is a dive into the psyche of a captive and survivor of captivity."", ""object""=>""text""}]}]}}"
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,"Michelle McNamara, Gillian Flynn (Introduction)",,Read,Public,173604,30399324,0062319809,9780062319807,,Book,us,en,,352,,2018-02-27,HarperCollins Publishers,,,,,"",2020-01-22,"",2020-01-22,5.0,,false,false,2020-01-22T00:00:00Z,,,,false,No,{}
The Summer Children,Dot Hutchison,The Collector (#3.0),Read,Public,440575,30405017,1542049881,9781542049887,,Book,,,,292,,2018-05-22,,,,,,"",2018-10-04,"",2018-10-13,5.0,,false,false,2018-10-13T00:00:00Z,,,,false,No,{}
Vanishing Girls,Lisa  Regan,Detective Josie Quinn (#1.0),Read,Public,559642,30519696,1538734117,9781538734117,,Book,us,en,,334,,2018-01-17,Grand Central Publishing,,,,,"",2018-08-24,"",2018-09-25,5.0,"Didn't want to stop reading!

This was well-done, one of the more exciting stories I've read in a while, with a good mix of emotion, action, and suspense.",false,false,2018-09-25T00:00:00Z,,,,false,No,"{""document""=>{""object""=>""document"", ""children""=>[{""data""=>{}, ""type""=>""paragraph"", ""object""=>""block"", ""children""=>[{""bold""=>true, ""text""=>""Didn't want to stop reading!"", ""object""=>""text""}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""text""=>""This was well-done, one of the more exciting stories I've read in a while, with a good mix of emotion, action, and suspense."", ""object""=>""text""}]}]}}"
American Gods,Neil Gaiman,American Gods (#1.0),Want to Read,Public,657,30400277,0062561472,9780062561473,,Book,us,es,,480,,2001-06-19,Roca Editorial,,,,,"",2019-05-19,"","",,,false,false,,,,,false,No,{}
